StudyHours,Attendance,PreviousMarks,SleepHours,FinalMarks
4.1,45.0,60.5,6.9,53.2
6.3,87.2,57.3,5.6,63.5
6.0,66.7,60.1,6.2,70.8
5.5,84.1,94.0,6.7,86.8
5.5,65.1,82.7,7.0,74.6
4.5,70.8,44.4,7.7,58.3
9.1,62.2,83.3,4.1,71.6
6.1,61.5,72.1,8.5,60.1
3.0,45.0,72.5,9.1,56.0
9.2,65.0,47.4,4.0,48.6
5.2,95.7,87.5,5.4,96.3
3.7,81.7,88.9,6.9,80.6
7.0,88.2,70.0,5.3,82.2
8.3,78.9,69.7,5.1,72.4
5.6,50.0,57.0,10.0,46.5
5.3,77.6,64.5,6.8,66.0
0.5,61.4,68.5,8.6,60.1
7.4,72.9,65.8,6.9,81.1
5.6,85.1,60.5,7.2,67.9
3.7,60.7,69.3,5.9,58.7
9.9,90.8,96.9,4.7,88.6
2.6,58.7,45.6,8.6,50.1
10.0,79.7,81.0,4.3,83.3
7.6,60.9,82.2,7.1,78.3
9.3,59.5,52.6,6.4,72.7
7.1,58.9,53.1,4.9,54.5
4.6,71.4,65.5,7.5,74.5
4.6,59.8,76.0,8.6,75.3
0.5,71.1,44.4,7.1,59.0
6.4,57.9,50.8,4.8,53.5
4.7,63.7,73.9,8.0,74.0
5.9,66.5,69.0,6.7,75.1
2.7,66.7,57.5,7.0,56.5
5.1,70.6,48.3,8.0,61.7
6.1,77.5,71.1,5.8,76.0
0.5,70.9,70.5,7.2,71.9
5.7,60.5,59.6,7.3,73.4
5.9,75.9,46.1,6.7,67.8
2.8,82.8,80.4,8.1,75.7
4.7,71.0,66.1,8.5,69.5
5.1,62.8,48.2,8.6,63.8
5.3,97.9,52.2,8.6,73.1
7.8,81.3,73.0,7.9,87.5
5.6,62.4,60.3,8.1,66.1
3.3,89.8,81.0,5.9,77.1
8.1,64.4,69.6,7.1,76.5
5.2,51.0,43.5,4.2,51.8
10.0,100.0,62.6,6.0,85.5
1.7,92.7,79.9,4.7,65.4
7.5,77.3,73.7,5.1,59.8
0.8,62.0,77.9,7.2,66.0
4.6,64.2,63.2,6.5,59.1
5.5,74.6,54.3,7.1,63.2
5.3,45.0,62.3,8.8,52.7
7.6,72.6,56.2,6.0,66.9
8.9,66.8,35.5,6.8,63.5
3.3,70.6,69.8,8.1,70.2
7.9,58.3,65.3,7.4,69.3
3.6,66.3,80.0,6.0,61.1
2.4,49.1,72.1,4.3,51.4
2.7,65.7,62.7,5.5,61.9
2.9,72.6,56.7,7.2,70.4
5.7,66.4,73.8,6.6,74.1
5.4,67.3,60.1,5.7,60.0
1.9,47.7,44.2,7.2,42.2
0.8,71.6,72.7,7.9,67.0
2.8,72.8,50.1,7.1,53.4
4.2,61.4,38.1,6.5,47.6
4.8,72.3,59.0,7.2,64.9
6.4,58.5,82.6,8.3,79.3
7.2,63.2,62.0,4.8,56.1
5.7,84.0,59.0,5.6,69.3
7.0,60.1,55.8,4.9,70.3
4.2,85.0,77.4,6.8,70.9
7.7,74.7,57.1,5.2,63.4
6.3,52.9,62.7,5.9,63.3
4.8,59.5,58.2,6.7,61.7
8.4,72.2,54.1,6.7,77.8
2.2,68.8,44.1,5.1,45.5
5.9,84.1,82.9,4.9,77.3
1.0,72.8,69.5,5.8,59.8
4.8,45.0,73.0,7.2,70.4
3.4,78.5,75.4,4.5,64.4
6.9,89.0,80.0,7.3,87.8
8.5,67.2,56.7,5.2,73.4
1.8,85.2,60.2,7.8,61.5
6.8,69.4,43.8,5.6,53.7
6.2,68.7,63.6,8.1,71.5
4.8,76.9,92.8,4.9,76.8
5.9,80.8,60.0,5.3,70.6
7.2,89.8,75.1,7.7,85.5
2.2,85.9,70.8,6.5,66.5
3.8,85.6,70.7,3.9,61.7
6.2,78.5,78.7,6.5,73.6
10.0,61.1,72.7,7.0,76.1
4.3,67.5,55.8,8.5,64.9
4.9,91.0,54.0,8.0,69.2
1.0,74.6,70.4,9.6,66.3
5.6,55.9,59.0,7.0,66.8
8.2,76.5,67.9,7.3,74.0
10.0,92.8,85.4,4.8,86.2
3.2,72.0,33.8,9.5,46.4
0.5,60.5,39.7,8.0,31.8
4.3,45.1,65.4,9.1,61.2
4.8,67.7,52.0,7.6,56.7
3.8,45.0,73.9,6.4,66.3
2.8,53.2,65.3,7.3,60.1
6.4,62.9,56.3,6.1,65.3
1.6,57.8,97.5,8.0,67.8
4.3,59.9,60.2,9.1,66.4
2.7,54.9,77.9,3.3,45.9
4.8,78.4,79.4,7.0,75.1
1.5,79.7,68.1,7.4,71.2
10.0,77.5,58.8,6.1,79.4
5.8,70.5,53.9,7.1,62.1
6.0,88.0,68.1,8.1,78.3
3.1,75.0,76.2,7.4,67.5
5.5,70.8,55.5,5.4,69.8
1.8,62.8,73.6,6.8,61.2
0.6,65.9,66.7,6.5,54.6
8.9,63.0,74.5,3.9,71.5
5.1,79.8,61.6,8.5,69.8
4.4,84.6,48.5,7.3,74.1
3.4,74.8,49.5,6.8,62.3
7.5,57.3,42.5,7.8,61.4
8.1,67.0,68.6,6.3,76.8
8.8,63.3,82.2,4.4,79.5
0.7,66.2,59.4,6.4,48.1
6.9,67.0,55.9,7.0,71.0
8.6,57.0,48.6,5.5,68.1
7.3,69.5,61.4,8.3,72.1
5.6,68.5,59.2,8.1,68.8
6.0,91.1,74.3,7.3,75.0
4.1,69.4,30.0,6.3,54.1
5.2,83.4,64.1,6.0,78.5
3.9,75.8,61.7,6.2,67.8
4.4,75.8,65.2,4.6,61.7
4.7,68.2,76.9,8.3,70.2
3.5,64.6,41.9,5.7,52.3
5.8,71.0,72.4,9.2,71.2
3.2,64.5,69.2,6.2,62.8
3.5,99.0,70.4,6.5,77.8
7.9,74.1,70.9,3.4,48.1
1.4,82.1,57.6,3.1,47.7
2.9,57.5,68.7,5.7,61.4
0.5,74.5,55.6,5.9,46.0
6.7,63.0,61.2,4.3,61.3
4.1,93.5,73.4,7.4,70.1
4.3,74.9,30.0,8.5,47.7
6.1,93.6,72.8,7.2,83.7
3.2,82.7,41.4,7.7,52.3
3.9,84.6,47.3,8.9,63.5
3.1,76.6,37.4,7.9,57.2
9.4,68.5,41.9,7.0,67.5
5.8,74.9,81.1,5.5,78.3
8.4,62.3,80.5,6.4,74.9
7.0,68.8,80.0,6.3,78.8
0.8,74.6,72.4,5.5,64.8
2.0,63.4,63.0,5.6,46.0
2.8,62.6,63.5,6.9,64.6
8.2,56.6,96.4,7.8,82.9
5.5,65.0,68.0,8.9,73.0
1.9,66.0,72.6,6.7,71.1
4.8,53.9,42.1,5.7,48.5
2.7,52.7,58.6,7.9,50.0
6.1,58.8,41.0,6.6,56.0
6.1,49.2,65.7,7.3,64.3
7.8,58.7,80.1,6.8,76.2
7.7,68.7,64.7,5.2,62.6
7.3,65.2,80.5,8.9,76.1
6.9,57.7,75.2,7.0,77.0
5.9,48.6,55.3,4.2,50.0
9.6,74.4,79.1,7.6,83.9
1.5,69.5,65.4,5.8,56.1
3.8,66.0,34.5,4.8,50.0
4.5,74.3,75.7,7.8,79.4
5.7,60.8,69.6,8.4,67.1
5.7,68.4,96.5,6.0,84.2
2.1,59.5,38.9,7.2,54.7
9.7,45.0,74.7,6.7,69.9
3.6,72.5,67.4,7.3,66.1
1.7,60.9,58.9,7.2,60.2
5.9,81.0,72.7,6.2,82.3
2.5,56.1,44.6,8.4,56.3
3.2,84.0,72.3,7.5,73.7
4.4,70.5,77.7,7.7,79.9
2.5,67.8,55.0,3.8,48.4
0.9,74.5,74.1,6.5,51.5
8.2,60.0,85.5,7.8,76.9
2.8,71.7,48.0,7.1,56.4
5.0,45.0,38.3,6.3,47.1
4.6,85.6,75.4,6.6,81.4
5.8,69.6,44.6,7.8,53.0
5.0,57.7,53.6,7.6,70.3
7.4,62.9,57.6,7.0,76.5
2.2,56.8,69.3,5.0,59.4
7.2,94.9,82.8,8.2,88.2
5.6,77.6,47.7,7.1,69.0
7.9,86.1,69.8,7.3,87.9
6.8,65.6,72.7,4.9,75.8
2.8,70.7,47.1,7.7,58.2
3.3,71.5,41.1,8.1,57.0
3.8,59.4,70.9,6.4,71.0
7.9,64.1,90.2,3.7,61.9
1.2,51.6,50.6,7.5,47.6
5.7,79.1,70.7,7.8,77.1
3.3,80.0,47.2,5.8,59.3
5.5,62.9,51.3,7.4,58.8
5.9,81.8,57.7,9.6,76.0
7.0,55.9,82.2,6.6,73.5
6.2,81.7,67.5,5.7,79.0
4.1,71.2,55.4,6.7,69.0
0.7,91.0,49.4,6.2,58.9
5.0,70.1,73.8,7.5,73.4
7.3,83.2,85.9,5.4,80.2
5.7,57.3,60.5,6.2,68.3
2.7,88.2,48.9,7.3,68.9
2.1,78.9,56.4,8.9,61.4
6.6,65.1,56.1,6.0,62.3
8.9,55.4,61.7,5.7,69.6
5.0,58.7,68.1,8.0,67.3
7.4,84.9,82.9,6.0,82.3
6.0,71.0,55.8,4.0,58.3
7.9,67.0,67.4,7.1,83.1
8.5,80.8,61.8,8.2,72.7
6.0,65.3,61.2,7.7,65.0
8.2,45.9,66.0,5.9,63.6
0.5,83.1,60.4,7.0,58.5
2.9,89.7,58.2,8.0,71.2
3.8,64.8,83.9,8.4,76.0
5.4,60.1,41.8,8.0,54.7
1.6,71.0,30.0,4.4,30.5
4.7,73.4,77.2,8.8,78.5
5.4,56.9,89.2,4.8,70.0
5.0,77.0,61.3,7.8,75.3
3.6,71.1,97.3,7.3,77.2
4.2,69.9,87.2,6.4,81.3
8.6,61.9,62.6,5.3,66.1
6.3,51.9,74.8,5.4,72.2
7.1,76.1,50.6,7.8,72.0
8.2,62.6,61.5,5.6,60.2
3.1,61.9,75.0,5.1,60.4
7.1,72.7,63.8,7.4,73.9
7.7,75.7,62.0,6.8,73.2
6.2,50.4,50.1,7.6,63.7
3.9,86.6,63.1,8.2,72.3
5.7,75.7,55.9,7.4,70.7
7.6,98.6,64.4,7.6,85.0
5.4,78.5,80.1,6.6,79.3
3.2,67.3,30.0,9.1,49.2
2.3,66.7,47.2,7.6,57.5
5.4,62.7,79.4,5.2,74.2
5.2,77.1,72.8,7.5,85.5
2.5,71.0,60.7,5.9,61.7
4.8,69.4,81.6,6.5,73.3
7.9,52.7,69.4,5.7,69.9
6.1,75.2,46.0,7.3,61.1
4.5,56.4,68.7,8.3,70.8
6.4,58.3,65.2,6.8,56.7
7.9,71.5,76.7,5.1,55.4
1.4,74.1,69.2,5.7,76.6
3.5,78.1,60.4,4.3,57.9
4.7,64.6,61.0,7.3,65.9
0.5,73.0,46.0,4.3,45.1
2.1,70.5,72.6,6.1,63.8
6.0,57.5,41.1,8.7,55.0
6.7,48.7,76.3,5.7,70.7
3.0,85.3,61.3,7.8,68.0
3.1,67.4,62.6,7.0,64.1
6.8,71.6,68.6,7.9,70.3
6.6,57.7,78.0,7.6,64.8
3.4,64.6,66.4,8.8,61.0
6.3,69.1,52.9,6.6,73.6
4.0,45.1,73.0,6.3,65.3
5.5,95.3,30.0,7.1,71.5
7.7,85.4,98.0,6.8,93.6
3.3,59.0,57.9,5.2,55.7
4.4,68.5,39.7,7.2,55.6
2.9,91.3,98.0,7.3,84.9
5.6,51.6,49.8,6.0,63.2
3.4,88.7,79.9,7.6,83.1
8.4,59.7,57.9,6.8,73.5
3.5,53.5,52.7,6.8,50.8
2.5,49.7,64.9,7.9,61.7
2.6,56.9,59.1,6.5,61.3
2.7,66.1,78.9,7.3,65.7
6.7,84.7,57.2,7.0,68.1
4.2,83.2,68.2,8.8,80.5
6.8,77.4,90.0,8.6,87.3
5.4,63.5,57.5,5.3,61.0
8.7,46.2,81.4,7.9,73.9
7.9,71.3,73.2,7.8,72.0
5.4,68.9,73.8,6.0,82.5
2.4,63.5,80.6,6.5,70.5
6.8,85.6,68.6,8.0,82.3
6.9,64.5,44.2,6.6,66.0
4.6,56.9,60.2,7.4,60.3
7.4,58.2,61.5,6.3,76.5
3.2,72.5,87.9,4.3,59.9
4.8,83.5,44.4,7.5,53.9
5.3,77.9,47.0,6.8,69.0
5.6,71.0,89.5,7.2,95.8
4.1,73.5,33.5,7.7,53.2
10.0,78.4,64.3,7.3,76.8
0.9,63.6,58.6,6.6,57.9
5.7,79.7,45.9,5.9,64.3
5.5,82.4,89.0,6.6,85.4
9.3,45.0,57.3,6.6,68.4
4.6,61.0,64.1,4.9,73.3
3.7,54.8,46.5,8.7,54.1
6.2,82.3,46.5,7.5,73.3
4.1,100.0,98.0,9.1,91.3
4.8,50.8,72.5,5.9,69.7
5.3,47.5,81.1,8.4,69.1
6.0,75.9,75.9,6.5,71.6
4.7,76.0,48.2,6.8,62.3
4.2,81.9,60.4,5.3,70.5
8.5,69.9,61.9,6.5,76.2
6.0,64.7,47.3,4.8,58.3
7.3,70.7,66.5,7.1,83.9
4.9,69.4,50.1,5.6,66.2
6.8,74.7,98.0,6.8,87.0
1.4,57.4,37.7,9.2,42.5
2.4,79.9,59.8,6.0,64.1
5.9,78.3,80.4,7.0,83.6
5.2,58.1,68.0,5.6,65.7
4.8,99.4,57.8,5.2,71.1
3.9,91.2,72.8,4.9,77.1
4.0,61.7,44.3,6.9,60.9
4.8,65.2,54.7,7.2,64.9
6.0,81.1,71.5,7.4,70.3
6.6,75.9,65.8,5.9,70.0
7.1,75.1,56.4,6.2,76.1
4.6,68.8,66.9,8.0,71.9
6.8,64.7,98.0,6.0,79.6
10.0,71.6,64.8,6.0,71.4
4.9,45.7,69.1,7.0,68.7
5.0,66.1,79.6,6.0,67.4
4.2,55.4,69.6,5.7,66.5
1.5,58.4,92.0,6.8,68.9
4.6,65.1,68.3,7.5,75.6
4.9,61.2,35.7,5.8,62.4
6.0,68.1,55.5,6.1,56.2
4.1,81.4,58.6,5.9,72.7
5.2,63.1,60.0,8.0,79.9
4.1,85.8,77.4,5.7,76.6
4.6,57.3,66.6,7.5,68.7
4.0,74.6,72.6,6.3,65.6
5.0,74.2,91.8,5.8,97.0
5.6,62.4,48.9,7.7,68.0
3.2,80.1,92.1,6.7,82.5
8.3,57.9,96.0,6.7,87.7
6.6,59.7,63.5,7.6,75.2
1.6,62.8,64.8,8.1,61.6
3.7,61.4,50.5,5.1,49.3
3.0,62.5,48.0,4.9,61.8
6.0,63.5,83.8,7.4,85.0
3.5,81.3,52.7,5.3,65.6
2.7,100.0,84.4,7.9,80.9
2.5,54.1,76.8,6.0,63.0
7.1,76.5,55.4,7.5,81.6
8.1,56.3,71.2,5.7,73.3
2.2,79.0,88.6,5.8,81.5
6.6,70.6,62.5,7.7,74.5
6.8,65.8,61.9,7.4,70.1
3.5,70.9,81.2,6.0,67.1
3.1,84.2,60.9,7.2,65.8
4.4,51.3,61.1,6.7,64.5
7.5,56.1,68.3,6.9,73.0
5.5,63.8,64.9,7.5,60.1
5.4,65.7,56.9,8.5,61.7
3.1,62.7,57.5,6.5,64.5
0.9,72.8,49.2,6.3,50.5
0.7,70.5,90.1,4.4,60.3
5.6,75.9,74.2,8.4,73.9
3.3,52.4,78.4,4.7,58.2
5.1,71.3,64.3,5.8,67.5
3.9,83.0,42.5,6.4,70.7
2.2,53.7,46.4,6.9,53.1
0.5,100.0,76.1,7.8,68.2
2.8,61.2,56.2,9.2,61.4
1.7,86.3,65.3,5.3,51.3
5.0,70.4,54.5,7.2,58.7
6.9,74.7,77.0,4.3,73.1
5.8,62.6,47.2,7.0,57.6
7.5,51.6,65.1,6.4,74.5
3.2,62.5,57.1,8.1,56.7
0.8,66.9,74.7,6.3,54.2
7.0,55.8,65.5,6.6,68.5
5.2,83.0,74.8,6.0,67.6
5.0,61.0,54.7,6.5,66.7
7.4,67.9,55.8,7.1,70.2
2.9,61.0,56.0,6.3,62.3
8.8,53.3,61.7,6.8,62.6
8.6,70.3,58.4,5.0,70.8
4.8,65.6,86.0,5.7,73.7
7.4,77.8,64.5,5.7,60.1
5.5,73.5,64.7,6.5,72.6
4.6,78.0,87.7,6.3,80.1
5.4,71.5,89.6,6.3,87.3
5.8,79.8,94.4,6.9,80.4
6.2,73.3,76.2,5.9,74.4
4.0,81.3,58.8,9.7,67.8
3.2,65.6,45.9,4.1,56.0
5.6,78.0,75.5,5.1,71.2
0.5,59.3,77.6,6.7,57.6
6.4,79.0,67.0,7.1,83.7
5.9,72.6,42.2,5.3,51.1
6.4,60.4,53.8,6.0,59.0
4.8,82.0,55.8,6.8,69.4
8.3,63.9,84.4,6.8,81.4
4.9,62.3,98.0,5.4,83.2
8.2,93.8,90.3,6.3,92.3
5.5,90.7,39.9,6.3,73.9
4.3,72.7,50.4,7.8,63.7
6.9,67.6,43.2,6.7,68.1
3.3,67.3,49.3,8.0,59.6
6.7,84.6,75.4,7.1,77.4
4.2,63.6,65.0,6.5,60.9
4.8,57.6,35.6,5.2,49.7
9.2,86.6,93.5,6.9,98.4
0.5,60.6,54.1,8.5,57.0
3.2,65.7,56.7,7.5,68.1
3.9,71.0,38.9,7.1,60.2
4.5,68.3,62.2,8.3,69.8
4.2,55.2,68.3,8.2,65.7
7.5,92.7,74.9,6.7,84.7
3.6,62.7,30.0,7.5,49.9
2.8,47.9,60.2,7.6,66.2
7.1,73.7,63.5,5.6,70.6
5.1,78.7,53.9,7.4,64.9
3.0,96.6,75.6,6.6,79.7
0.5,65.1,76.8,8.8,63.2
7.9,58.8,38.9,8.4,65.8
4.7,70.6,62.4,8.5,63.6
4.7,80.3,52.9,8.8,63.2
5.0,58.8,64.2,5.1,58.9
6.1,75.1,43.5,4.6,65.2
4.2,75.5,98.0,10.0,72.0
8.0,72.2,65.3,7.0,74.0
2.5,63.8,50.7,7.1,53.7
3.5,81.7,42.6,5.4,56.7
5.8,49.2,66.0,5.5,72.0
3.5,66.4,72.9,6.9,72.7
5.1,67.3,64.6,6.2,66.6
5.0,77.0,33.7,6.0,68.4
6.9,57.8,66.3,7.2,73.1
4.3,74.4,58.6,7.7,57.6
3.2,89.7,58.5,6.2,66.4
4.1,45.0,46.8,7.2,53.0
7.2,70.2,62.8,6.4,69.8
8.0,76.3,60.8,5.7,70.7
5.1,58.9,70.1,5.1,54.6
5.6,66.2,70.5,6.9,67.3
8.0,55.1,64.3,4.8,59.9
4.0,74.5,49.4,6.3,66.9
2.8,76.3,65.4,5.2,63.8
4.7,76.8,60.2,7.3,61.5
7.1,72.3,93.3,5.6,82.2
3.8,72.5,45.5,7.0,64.5
5.6,59.0,46.5,9.6,55.9
9.5,70.0,73.9,4.1,68.5
5.2,45.0,40.6,7.2,51.2
4.4,100.0,63.4,7.7,74.9
4.2,67.8,69.4,9.4,73.6
4.2,45.0,67.1,10.0,55.2
5.8,89.8,81.5,5.8,69.6
5.6,61.8,75.3,5.3,67.8
2.6,73.3,65.5,8.6,62.1
4.6,64.9,39.9,7.2,65.2
2.5,68.0,61.5,8.1,63.5
8.1,46.2,58.7,4.9,53.4
1.8,56.4,70.4,4.2,55.2
2.6,100.0,56.8,5.8,65.8
6.4,64.9,68.6,5.5,62.3
3.3,45.0,38.0,6.6,43.6
4.6,87.5,83.7,4.7,73.2
3.3,60.8,56.0,6.2,56.5
5.6,71.1,55.5,5.7,72.5
5.5,48.4,50.3,5.9,58.1
5.8,81.5,30.0,4.9,47.2
3.7,64.9,90.1,4.1,64.2
1.9,78.1,61.6,5.0,61.1
7.7,53.4,80.1,6.6,82.0
4.6,45.0,63.9,8.4,56.0
0.5,67.0,59.2,9.2,46.2
7.9,70.1,72.6,7.1,77.8
0.6,77.6,51.6,7.8,48.4
6.8,74.8,83.8,6.8,73.5
5.1,76.1,52.1,8.5,68.9
4.9,58.3,50.5,4.0,59.0
1.7,85.7,71.6,8.6,81.2
4.6,76.3,45.2,5.0,60.8
7.8,64.7,77.5,4.4,59.1
3.5,70.6,67.0,8.1,71.2
6.6,70.5,77.9,6.2,89.1
4.8,93.4,52.8,5.2,75.7
7.7,80.5,66.9,7.0,76.4
6.8,72.2,79.6,3.9,72.0
6.2,88.4,55.4,7.1,77.5
9.1,87.2,50.0,6.9,85.5
4.9,59.2,56.5,7.6,61.4
3.0,74.9,73.1,7.7,75.9
2.4,84.2,67.6,7.6,63.7
2.6,59.9,48.3,6.3,52.4
1.8,68.0,77.6,8.5,61.8
5.4,75.2,64.1,8.4,74.9
5.2,94.2,52.1,6.8,78.3
10.0,75.4,68.7,5.9,74.9
1.7,83.1,66.7,4.4,55.8
5.6,61.2,40.5,5.7,48.3
1.3,80.5,66.0,8.1,68.9
10.0,86.8,79.3,5.8,85.0
8.2,69.1,58.8,4.8,58.7
4.6,85.3,85.7,8.1,85.2
7.7,74.3,87.5,10.0,84.2
4.2,78.8,65.7,10.0,67.7
7.3,59.4,60.9,7.8,67.1
5.6,53.2,73.6,7.5,79.6
2.8,52.9,53.4,5.3,58.3
8.2,77.3,88.2,6.7,87.6
1.5,65.5,60.0,7.3,57.9
4.9,72.8,76.2,5.9,74.1
5.4,57.9,76.1,7.2,68.4
2.3,71.4,56.2,7.5,56.3
3.4,100.0,80.9,7.7,79.6
6.4,57.2,80.6,5.7,71.7
2.8,77.5,49.5,7.7,59.9
3.3,71.5,63.3,7.3,75.2
8.1,82.3,53.3,5.5,60.1
9.2,64.1,69.5,6.4,72.5
3.4,80.5,47.8,7.1,68.5
4.8,68.4,57.7,7.9,70.0
4.1,70.3,61.7,5.1,63.8
3.9,63.7,93.4,5.9,79.9
3.1,69.1,71.7,7.1,60.4
2.3,80.8,67.2,5.0,71.8
4.5,82.3,55.8,6.8,71.8
3.9,69.6,51.7,5.3,60.2
2.3,67.5,61.1,9.1,64.4
1.5,68.5,79.5,9.5,63.2
7.3,73.3,53.8,6.6,77.8
3.8,59.5,81.2,8.2,56.4
3.9,52.5,62.8,6.6,59.3
9.9,55.6,56.7,8.7,63.2
5.8,68.8,88.7,6.8,77.8
4.2,73.7,79.8,5.3,67.4
1.9,66.5,40.4,6.7,58.4
5.2,72.3,83.0,9.4,79.0
5.8,52.2,60.1,8.0,60.9
4.7,66.3,69.4,3.8,57.1
5.4,64.6,79.5,6.0,75.8
7.9,58.2,61.8,7.8,67.4
6.6,77.6,72.5,4.6,77.1
10.0,64.4,56.5,6.6,71.0
1.4,81.7,31.9,5.7,46.4
5.1,82.5,86.2,7.4,80.6
7.2,71.2,67.1,7.9,78.6
4.7,78.1,59.6,5.6,65.0
4.6,81.1,66.3,5.4,70.6
7.1,72.5,66.7,8.0,72.6
6.4,56.1,55.8,8.7,62.1
6.0,87.1,61.4,7.4,70.2
2.7,60.4,75.2,6.5,62.7
7.0,52.2,61.7,8.2,56.4
7.2,62.5,79.7,6.6,78.0
2.2,84.1,62.2,7.8,73.4
4.1,99.5,75.7,8.2,81.7
4.5,72.7,83.5,8.7,74.5
5.9,60.6,43.8,8.7,60.1
4.4,56.7,84.8,6.6,72.3
4.0,78.5,66.3,7.2,71.7
4.4,66.6,51.1,6.8,62.4
7.8,65.0,66.1,5.1,61.9
2.7,62.5,98.0,8.0,65.3
1.5,95.2,61.5,4.4,51.7
4.1,85.5,78.5,7.9,87.2
0.5,71.1,91.8,5.9,64.1
7.4,67.2,61.1,8.3,71.1
5.5,76.8,81.5,8.1,80.9
4.5,57.4,95.9,6.8,80.7
2.3,72.6,84.0,8.1,76.8
0.9,65.6,35.9,6.1,39.0
2.4,73.2,77.1,8.1,62.6
4.3,61.0,70.0,7.7,71.4
6.1,72.0,85.1,6.3,81.6
1.2,69.8,71.6,7.4,65.1
8.0,53.1,54.8,7.2,65.2
7.5,57.6,47.9,6.8,60.8
8.5,61.4,72.6,8.2,74.3
1.6,45.0,55.6,5.3,46.2
4.3,53.1,60.1,7.7,64.8
1.4,64.2,36.5,8.2,51.4
3.7,58.8,51.5,4.1,50.1
2.5,81.0,60.9,6.2,56.9
6.9,53.6,49.9,5.8,60.8
4.5,53.9,59.3,7.8,55.6
4.2,61.6,77.1,7.7,67.8
5.3,66.3,65.6,3.9,48.5
3.2,83.8,74.2,6.7,76.1
3.3,47.2,75.4,6.6,67.1
2.6,72.2,98.0,7.5,86.9
7.1,59.4,66.6,7.5,66.4
7.7,82.8,70.7,6.5,79.3
6.3,58.2,83.4,5.0,77.6
6.0,84.6,61.1,5.3,79.1
3.8,84.1,88.3,6.6,82.6
5.1,88.7,54.4,3.5,59.8
4.1,68.3,59.8,8.0,72.0
5.0,66.6,69.2,7.0,66.9
8.6,76.8,73.7,8.1,78.8
6.8,60.4,77.3,6.1,68.7
1.2,45.0,69.2,6.8,54.4
3.1,50.2,59.5,7.5,61.1
5.9,83.8,64.8,5.9,73.0
7.0,65.5,44.0,7.6,72.0
4.5,85.5,60.5,8.9,70.9
4.8,89.3,75.6,7.3,88.1
9.7,53.9,63.0,5.7,67.1
3.1,65.3,82.3,7.3,62.5
4.3,72.3,60.7,5.0,71.4
4.5,87.4,66.6,5.9,75.0
8.2,55.4,61.8,5.7,53.9
4.1,66.9,84.9,4.7,78.8
6.6,67.8,45.7,7.3,64.7
4.9,56.5,39.5,6.0,54.6
2.5,83.1,75.2,9.9,72.7
10.0,83.1,65.0,4.4,69.8
5.1,67.1,30.0,6.9,51.5
7.6,69.9,34.3,5.8,59.0
3.7,72.0,41.5,6.0,52.5
2.0,73.7,59.1,6.5,61.0
2.8,89.1,48.5,6.1,57.9
3.5,80.7,92.0,8.4,82.5
3.4,66.4,68.9,7.4,64.8
8.9,58.9,92.3,6.3,85.7
7.2,64.3,77.5,3.2,53.8
4.2,52.9,51.1,7.5,61.8
5.9,62.6,68.6,7.0,76.6
3.3,72.1,76.7,6.2,67.9
6.5,72.5,60.3,6.7,72.0
3.0,64.1,67.1,4.7,54.5
4.6,62.6,72.1,7.6,73.5
7.2,79.5,48.8,5.2,58.3
0.5,70.9,82.9,5.2,58.6
4.7,62.4,47.6,8.9,57.1
8.5,89.6,81.1,6.8,83.6
5.0,83.6,71.9,9.3,79.9
5.9,84.3,73.5,3.6,64.5
4.9,63.0,83.0,5.6,82.6
5.8,63.2,90.2,6.0,82.2
5.9,80.9,72.6,10.0,67.9
1.0,61.4,39.3,5.1,35.5
5.9,56.5,51.2,6.2,59.9
4.7,62.8,78.4,7.5,62.8
5.4,68.9,30.0,9.6,53.3
5.9,69.5,77.3,9.0,63.8
5.7,96.6,71.2,9.0,77.8
0.5,70.3,64.5,5.5,47.3
6.0,82.3,77.3,7.9,80.7
5.5,72.8,83.0,6.6,83.3
2.4,80.8,58.7,5.6,65.8
6.9,64.4,63.7,5.9,68.7
8.9,91.6,86.0,6.1,95.1
0.5,57.0,50.8,9.2,39.6
6.5,58.8,63.1,6.3,60.7
3.3,53.8,71.6,4.3,47.3
1.8,46.8,67.7,7.0,53.2
3.7,96.5,94.9,7.7,91.2
4.8,50.7,56.0,6.8,57.6
2.6,62.0,71.6,7.1,67.4
0.8,78.5,47.4,6.2,51.0
8.9,61.8,55.5,5.3,76.5
6.2,72.1,71.6,10.0,65.4
4.7,58.4,48.2,4.8,52.9
4.9,75.6,90.4,6.2,86.4
9.0,90.3,52.6,6.7,78.4
3.5,85.5,80.5,6.3,70.5
2.2,78.9,71.1,6.4,60.9
3.1,74.6,51.5,6.6,52.7
3.5,69.9,67.8,6.8,69.1
8.7,50.5,52.8,5.6,58.7
2.6,100.0,80.2,7.6,77.2
2.4,60.1,56.9,6.9,49.6
6.2,72.8,79.2,6.2,76.5
4.3,56.7,69.3,5.9,59.7
2.9,81.3,33.4,8.5,61.2
10.0,54.0,45.7,8.5,64.8
6.0,63.0,68.9,5.9,58.7
2.1,67.3,45.2,6.9,48.4
5.3,78.5,53.3,6.9,73.8
4.1,88.4,72.2,6.4,69.8
7.7,80.6,58.6,7.8,66.4
7.3,50.4,81.2,6.2,77.8
1.4,81.1,45.0,6.1,49.2
8.4,67.2,38.7,9.9,60.0
6.4,75.3,81.8,6.3,82.1
5.0,64.3,73.1,6.9,76.6
